Currency,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value,Denomination,Value
US Dollar,$100 note,100,$50 note,50,$20 note,20,$10 note,10,$5 note,5,$2 note,2,$1 note,1,half dollar,0.50,quarter,0.25,dime,0.10,nickel,0.05,penny,0.01
Brazilian Real,R$200 note,200,R$100 note,100,R$50 note,50,R$20 note,20,R$10 note,10,R$5 note,5,R$2 note,2,R$1 coin,1,50 cent coin,0.50,20 cent coin,0.20,10 cent coin,0.10,5 cent coin,0.05,1 cent coin,0.01
Japanese Yen,¥10000 note,10000,¥5000 note,5000,¥2000 note,2000,¥1000 note,1000,¥500 coin,500,¥100 coin,100,¥50 coin,50,¥10 coin,10,¥5 coin,5,¥1 coin,1
British Pounds Sterling,£100 note,100,£50 note,50,£20 note,20,£10 note,10,£5 note,5,£2 coin,2,£1 coin,1,50p coin,0.50,20p coin,0.20,10p coin,0.10,5p coin,0.05,2p coin,0.02,1p coin,0.01
